,,,,,,,,,,,,,
,,,,,,,,,,,,,
,cow_id,Pen (Lote),lactation,Days in Milk,milk production,age,Body Weight,Dry Matter Intake,Feed efficiency,NE,CP percentage,Data Controle ,Data Dieta
,1540,Z11 - Lote B,5,94,"52,7",2360,"638,9139497","32,3","1,8","0,90","9,12",2025-05-25,2025-07-11
,2199,Z13 - Lote N,1,53,"40,7",784,"619,6137163","28,2","1,6","0,87","8,43",2025-06-20,2025-07-11
,1460,Z19 - Lote D,5,202,"21,0",2643,"619,8127507","21,4","1,1","0,82","6,88",2025-06-20,2025-07-11
,1503,Z11 - Lote B,5,223,"48,0",2545,"616,5308739","30,3","1,8","0,90","8,96",2025-06-20,2025-07-11
,1545,Z14 - Lote C,4,51,"63,0",2323,"637,4578752","35,0","2,0","0,94","9,79",2025-06-20,2025-07-11
,1547,Z10 - Lote A,5,102,"62,0",2323,"637,9535921","35,4","1,9","0,92","9,53",2025-06-20,2025-07-11
,1563,Z10 - Lote A,4,90,"45,0",2299,"639,2990761","29,7","1,7","0,89","8,71",2025-06-20,2025-07-11
,1564,Z10 - Lote A,4,232,"47,4",2297,"615,2532925","30,1","1,8","0,90","8,93",2025-05-25,2025-07-11
,1573,Z10 - Lote A,4,334,"39,0",2290,"605,6361376","27,1","1,6","0,88","8,48",2025-06-20,2025-07-11
,1625,Z10 - Lote A,3,299,"47,0",2216,"608,0459451","29,8","1,8","0,90","8,95",2025-06-20,2025-07-11
,1622,Z19 - Lote D,5,92,"17,2",2218,"639,1152826","20,5","0,9","0,80","6,37",2025-02-28,2025-07-11
,1627,Z19 - Lote D,4,179,"45,0",2215,"623,8577826","29,5","1,7","0,89","8,76",2025-06-20,2025-07-11
,1640,Z10 - Lote A,4,81,"60,0",2183,"639,8786262","34,7","1,9","0,92","9,47",2025-06-20,2025-07-11
,1645,Z10 - Lote A,4,279,"36,0",2152,"609,8021635","26,2","1,5","0,87","8,25",2025-06-20,2025-07-11
,1647,Z10 - Lote A,4,205,"46,0",2148,"619,3185927","29,7","1,7","0,89","8,84",2025-06-20,2025-07-11
,1656,Z10 - Lote A,4,256,"42,0",2082,"612,2219737","28,2","1,7","0,89","8,64",2025-06-20,2025-07-11
,1664,Z11 - Lote B,4,58,"49,0",2047,"638,803134","30,6","1,8","0,91","9,06",2025-06-20,2025-07-11
,1667,Z10 - Lote A,4,225,"41,0",2029,"616,240234","28,0","1,6","0,88","8,56",2025-06-20,2025-07-11
,1671,Z11 - Lote B,3,282,"49,0",1987,"609,519082","30,5","1,8","0,90","9,05",2025-06-20,2025-07-11
,1676,Z10 - Lote A,4,173,"51,0",1968,"624,9785203","31,5","1,8","0,90","9,08",2025-06-20,2025-07-11
,1690,Z11 - Lote B,3,175,"49,0",1946,"624,6023996","30,8","1,8","0,90","8,98",2025-06-20,2025-07-11
,1691,Z11 - Lote B,4,64,"53,8",1944,"639,5253046","32,4","1,8","0,91","9,26",2025-05-25,2025-07-11
,1687,Z10 - Lote A,3,401,"64,0",1950,"602,7695535","35,4","2,0","0,93","9,75",2025-06-20,2025-07-11
,1693,Z19 - Lote D,3,141,"29,7",1940,"631,191675","24,5","1,3","0,85","7,66",2025-06-20,2025-07-11
,1700,Z14 - Lote C,4,99,"36,0",1932,"638,3406692","26,7","1,5","0,87","8,13",2025-03-28,2025-07-11
,1705,Z10 - Lote A,3,257,"54,0",1929,"612,1072053","32,2","1,9","0,91","9,28",2025-06-20,2025-07-11
